postcode,instals,estimated_dwellings,density,capacity,capunder10,cap10_100,capover100,countunder10,count10_100,countover100,pot_kw,pot_sqm,pot_gwh
"2765","1383","5551","22.3","9582","5270","2923","1388","1238","142","3","218606","1,399,076","284.9"
"2766","969","4842","18.8","6704","2674","2821","1209","908","58","3","195351","1,250,245","256.8"
"2767","2222","7618","28.9","5973","5623","351","0","2200","22","0","86649","554,553","111.5"
"2768","2331","8537","27.0","7258","6814","444","0","2309","22","0","112710","721,344","145.2"
"2769","1217","4917","24.1","4772","4193","579","0","1185","32","0","51657","330,608","66.5"
"2770","2859","18942","14.7","10416","8012","2084","320","2790","68","1","262639","1,680,888","338.4"
"2773","532","2205","23.4","1879","1675","204","0","516","16","0","37305","238,749","47.9"
"2774","1116","4889","22.3","4013","3556","457","0","1090","26","0","71831","459,717","92.3"
"2775","167","852","18.2","693","516","177","0","155","12","0","26881","172,039","34.8"
"2776","415","1561","26.0","1317","1200","117","0","406","9","0","24214","154,972","31.1"
"2777","1651","6688","24.0","5824","4943","882","0","1605","46","0","116062","742,795","149.2"
"2778","277","983","28.0","795","762","33","0","275","2","0","15917","101,870","20.4"
"2779","442","2054","21.1","1371","1244","127","0","434","8","0","28924","185,112","37.1"
"2780","1077","6923","15.1","3875","2959","917","0","1042","35","0","111048","710,709","145.9"
"2782","562","2967","18.7","1812","1657","155","0","554","8","0","48722","311,823","62.5"
"2783","251","1130","21.5","847","656","191","0","243","8","0","19343","123,795","24.8"
"2784","143","553","25.7","389","376","13","0","142","1","0","8394","53,723","10.8"
"2785","480","2893","16.3","1529","1328","201","0","471","9","0","4489","28,731","5.9"
"2786","141","833","16.1","526","406","120","0","134","7","0","5224","33,431","6.7"
"2787","421","2116","18.7","1848","1529","319","0","396","25","0","40069","256,440","52.5"
"2790","1113","7268","14.6","4824","3624","994","207","1060","52","1","162605","1,040,672","214.3"
"2791","45","156","26.3","276","185","91","0","41","4","0","6491","41,540","9.2"
"2792","42","204","19.6","191","171","20","0","40","2","0","7418","47,478","10.5"
"2793","142","561","24.8","543","499","45","0","139","3","0","15976","102,248","22.7"
"2794","984","4533","20.0","5436","3285","1905","246","905","78","1","140984","902,298","201"
"2795","3323","17972","17.2","16695","12050","4644","0","3095","228","0","475978","3,046,258","665.7"
"2797","50","187","25.7","217","193","23","0","48","2","0","3750","24,003","5.3"
"2798","220","887","22.5","1014","790","224","0","200","20","0","29101","186,248","41.3"
"2799","303","1707","16.2","1691","1121","570","0","277","26","0","24870","159,170","35.3"
"2800","3374","19173","16.1","18708","11920","6788","0","3090","284","0","462098","2,957,429","658.9"
"2803","54","152","31.6","540","206","334","0","48","6","0","10863","69,523","15.4"
"2804","376","1223","28.9","1729","1289","440","0","354","22","0","32462","207,757","46"
"2805","46","198","20.7","211","139","72","0","41","5","0","8188","52,406","12"
"2806","97","405","22.5","569","431","138","0","91","6","0","12064","77,208","17.6"
"2807","58","216","26.4","207","192","15","0","57","1","0","8077","51,695","11.5"
"2808","25","180","12.8","99","77","22","0","23","2","0","6043","38,678","8.6"
"2809","29","113","22.1","147","100","47","0","25","4","0","6341","40,584","9.3"
"2810","340","1622","19.5","1664","1225","439","0","316","24","0","44326","283,686","64.8"
"2820","555","3062","16.6","2772","1849","922","0","507","48","0","56651","362,569","83.5"
"2821","836","1983","37.6","15385","2423","1571","11391","745","89","2","78374","501,596","115.5"
"2823","234","614","33.6","1140","757","383","0","206","28","0","38714","247,769","57"
"2824","443","1010","38.9","2174","1429","745","0","393","50","0","46818","299,633","69.2"
"2825","345","1094","27.7","103743","1056","687","102000","303","41","1","45001","288,004","67.1"
"2827","579","1648","32.1","2548","1748","800","0","529","50","0","65722","420,622","96.9"
"2828","130","458","24.2","731","451","279","0","111","19","0","24993","159,955","36.8"
"2829","493","1431","31.2","2481","1599","882","0","447","46","0","36309","232,380","54.1"
"2830","6514","15940","38.8","43536","17599","7570","18368","6177","334","3","440342","2,818,192","651.8"
"2831","454","903","47.2","1652","1324","328","0","426","28","0","55997","358,380","83.3"
"2832","409","1261","29.5","1968","1346","622","0","372","37","0","60074","384,473","90"
"2833","127","373","31.4","533","432","102","0","117","10","0","14832","94,926","22.1"
"2834","468","1437","31.4","1572","1129","443","0","451","17","0","40350","258,241","61.2"
"2835","705","1966","34.0","2825","2246","579","0","669","36","0","58039","371,448","86.7"
"2836","139","443","27.3","671","428","242","0","121","18","0","17842","114,190","28"
"2839","153","532","26.5","750","574","176","0","141","12","0","23254","148,828","35.8"
"2840","475","1315","31.8","2711","1791","920","0","418","57","0","57035","365,024","87.9"
"2842","117","317","35.0","453","343","109","0","111","6","0","17874","114,393","26.3"
"2843","164","590","25.1","953","641","312","0","148","16","0","26476","169,448","37.6"
"2844","195","720","25.3","836","664","172","0","182","13","0","26049","166,716","37"
"2845","147","813","17.0","628","497","130","0","138","9","0","2227","14,255","3.1"
"2846","57","180","31.1","174","163","11","0","56","1","0","8420","53,891","11.7"
"2847","261","1022","24.2","1084","863","221","0","247","14","0","7998","51,187","11.2"
"2848","131","856","14.3","628","450","177","0","122","9","0","19791","126,665","28.3"
"2849","224","894","23.7","947","766","180","0","212","12","0","30972","198,224","44"
"2850","1862","8241","20.8","9506","6896","2610","0","1712","150","0","139499","892,792","198.2"
"2852","365","1653","20.6","112759","1337","517","110904","341","23","1","50947","326,059","72.5"
"2864","119","347","31.7","619","446","173","0","110","9","0","18718","119,798","26.6"
"2865","184","392","43.6","56688","626","191","55872","171","12","1","10159","65,019","14.4"
"2866","319","1253","23.2","1648","1171","477","0","291","28","0","32379","207,225","45.9"
"2867","93","292","30.8","477","434","43","0","90","3","0","17085","109,343","25.2"
"2868","81","297","24.9","375","305","70","0","74","7","0","16333","104,528","24"
"2869","220","734","28.1","1062","782","280","0","206","14","0","39128","250,422","57.6"
"2870","1318","4875","24.0","73580","4769","2482","66329","1171","143","4","158354","1,013,462","232.2"
"2871","782","4140","16.7","4512","2871","1641","0","691","91","0","167535","1,072,227","245.7"
"2873","128","285","40.0","607","453","154","0","114","14","0","17142","109,710","25.3"
"2874","84","226","34.5","356","285","71","0","78","6","0","12971","83,014","19.1"
"2875","128","521","22.8","614","519","95","0","119","9","0","30124","192,791","44.4"
"2876","47","191","22.5","227","185","41","0","43","4","0","16243","103,956","23.7"
"2877","569","1762","28.7","3230","2056","1174","0","506","63","0","51935","332,386","76.6"
"2878","44","173","22.0","231","153","78","0","38","6","0","15254","97,623","22.7"
"2879","166","425","34.8","826","511","315","0","148","18","0","16176","103,529","25.4"
"2880","3881","9583","38.9","66323","10193","3130","53000","3725","155","1","197925","1,266,719","311.7"
"2898","42","230","17.4","163","142","21","0","40","2","0","","",""
"2899","544","1651","31.6","1651","1177","474","0","521","23","0","","",""
"2900","97","586","15.2","550","320","230","0","89","8","0","27020","172,931","38"
"2902","1193","5932","19.7","4703","4095","365","243","1167","25","1","88107","563,883","124.5"
"2903","660","3736","17.3","2558","2354","205","0","646","14","0","57331","366,921","81"
"2904","1094","5003","21.5","16513","3362","301","12850","1074","19","1","75987","486,318","107.4"
"2905","1903","11014","16.9","7420","6787","633","0","1866","37","0","156473","1,001,426","221"
"2906","1064","6418","16.3","4100","3730","370","0","1045","19","0","94273","603,345","133.2"
"2911","229","2123","9.2","1917","863","1054","0","196","33","0","53195","340,449","75.2"
"2912","226","1792","12.0","1188","766","422","0","215","11","0","34281","219,399","47.4"
"2913","1953","13992","13.7","7386","6823","563","0","1914","39","0","165915","1,061,855","229.9"
"2914","1499","9549","15.3","7028","5732","696","600","1458","40","1","113265","724,896","156.9"
"3000","47","492","4.7","1032","100","733","199","23","23","1","117652","752,976","145.5"
"3002","50","708","6.5","321","161","160","0","46","4","0","23720","151,809","29.2"
"3003","71","789","7.1","838","199","639","0","56","15","0","67817","434,028","84.5"
"3004","12","33","","242","14","228","0","4","8","0","","",""
"3006","22","305","3.0","1082","51","247","784","9","9","4","45170","289,086","55.9"
"3008","87","184","37.5","1540","115","763","661","69","16","2","43764","280,088","54.3"
"3011","639","6060","9.9","2804","1784","1019","0","602","37","0","108622","695,182","134.5"
"3012","993","9677","9.7","4874","2909","1765","200","935","57","1","269117","1,722,349","337.7"
"3013","721","5965","11.8","2665","2185","481","0","701","20","0","88707","567,726","111.7"
"3015","820","7037","11.4","3267","2483","405","378","802","17","1","118341","757,383","148.4"
"3016","748","5737","12.4","2978","2323","655","0","712","36","0","102060","653,182","128.4"
"3018","934","5865","15.3","3675","2462","1213","0","900","34","0","135695","868,446","170.3"
"3019","378","3848","9.4","1928","1180","748","0","361","17","0","65027","416,171","80"
"3020","2428","16145","14.3","11762","6385","3926","1451","2301","124","3","382940","2,450,816","477.7"
"3021","2794","19003","14.6","9699","8821","718","160","2771","22","1","277602","1,776,656","342.2"
"3022","167","1305","12.6","594","463","131","0","164","3","0","20136","128,873","25.3"
"3023","4559","21383","21.0","17122","14214","1953","954","4491","65","3","367514","2,352,090","460.8"
"3024","2141","9211","23.1","7962","7541","283","138","2129","11","1","133253","852,819","171.8"
"3025","487","4887","9.4","3043","1357","1185","500","459","27","1","177332","1,134,922","224"
"3026","149","61","","5020","500","2734","1787","88","56","5","467328","2,990,901","601"
"3027","583","2940","19.8","2202","2192","10","0","582","1","0","39121","250,372","48.8"
"3028","1859","11297","16.3","6202","5613","589","0","1845","14","0","160904","1,029,784","201.1"
"3029","9043","32886","27.0","39070","32365","4604","2101","8894","142","7","686327","4,392,494","864"
"3030","7471","40315","18.1","33201","25434","5045","2722","7304","162","5","584210","3,738,941","730.5"
"3031","517","5059","9.8","1910","1381","528","0","498","19","0","73902","472,974","91.7"
"3032","1053","8611","11.9","4007","3368","639","0","1025","28","0","139424","892,317","171.8"
"3033","739","5880","12.2","2726","2369","357","0","717","22","0","95922","613,904","118.8"
"3034","527","4869","10.5","1958","1628","331","0","509","18","0","62479","399,868","77"
"3036","369","2330","15.1","1530","1290","240","0","351","18","0","43523","278,545","53.6"
"3037","3321","17215","19.0","12533","11313","719","500","3271","49","1","270719","1,732,605","333.6"
"3038","1789","9494","18.6","7033","6205","578","250","1768","20","1","178548","1,142,709","220"
"3039","514","4488","11.0","2008","1564","444","0","493","21","0","73588","470,965","90.7"
"3040","960","8203","11.1","3881","3063","818","0","913","47","0","132349","847,033","163"
"3041","521","4367","11.7","1982","1788","194","0","509","12","0","83852","536,651","103.5"
"3042","746","7371","9.4","4233","2196","1562","475","693","52","1","131145","839,327","161.8"
"3043","1074","7715","12.9","5781","3207","2573","0","994","80","0","212462","1,359,756","264.5"
"3044","1029","11556","8.7","3645","3071","574","0","1007","22","0","133729","855,869","165"
"3045","4","3","","95","5","90","0","2","2","0","82655","528,992","102.4"
"3046","1291","13656","9.3","4365","3886","479","0","1266","25","0","170194","1,089,241","209.8"
"3047","827","6351","12.5","6555","2627","1070","2858","794","30","3","139003","889,620","171"
"3048","903","5929","14.8","3487","2855","632","0","877","26","0","103531","662,595","128.6"
"3049","525","3663","14.1","1959","1852","107","0","517","8","0","59935","383,582","73.8"
"3051","153","2545","5.4","870","396","473","0","137","16","0","51824","331,670","64.3"
"3052","84","960","7.1","1181","212","569","401","68","13","3","39844","255,000","49.2"
"3053","100","1656","4.8","1554","226","795","533","80","19","1","36653","234,576","45.2"
"3054","230","3081","7.4","729","657","72","0","227","3","0","29194","186,841","36"
"3055","517","4169","12.1","1749","1537","213","0","505","12","0","53971","345,415","66.5"
"3056","823","8416","9.3","3724","2290","1434","0","782","41","0","124886","799,271","154.9"
"3057","346","3684","8.8","1374","987","387","0","326","20","0","45578","291,701","56.3"
"3058","1807","13524","12.7","8115","5471","2013","632","1714","91","2","212155","1,357,792","263.7"
"3059","1196","5563","20.7","5326","4801","525","0","1152","44","0","109825","702,878","135.5"
"3060","513","5302","9.3","1949","1563","385","0","494","19","0","78044","499,480","96.4"
"3061","423","1726","15.3","6741","1113","4555","1073","264","155","4","281606","1,802,277","357.1"
"3063","52","197","21.3","285","182","102","0","42","10","0","12917","82,669","15.9"
"3064","5689","26189","21.3","25165","21623","1807","1736","5569","118","2","458474","2,934,232","567.4"
"3065","191","2347","7.7","839","523","317","0","181","10","0","38551","246,723","47.4"
"3066","145","1482","8.4","869","368","501","0","125","20","0","38942","249,232","47.9"
"3067","144","1792","7.0","960","400","560","0","126","18","0","42441","271,621","52.8"
"3068","687","6059","11.1","2311","1992","319","0","670","17","0","69562","445,196","85.7"
"3070","1286","8895","14.3","4085","3780","306","0","1270","16","0","110085","704,542","135.8"
"3071","781","6624","11.5","2964","2325","640","0","761","20","0","90623","579,986","112.2"
"3072","1471","12882","11.0","6308","4539","1184","584","1415","54","2","231745","1,483,169","287.7"
"3073","2244","22837","9.6","7771","6566","1205","0","2184","60","0","289243","1,851,154","358.1"
"3074","1117","7570","13.0","7271","3244","3767","259","987","129","1","245807","1,573,163","308"
"3075","1102","8229","13.2","3854","3636","218","0","1090","12","0","118416","757,861","145.9"
"3076","2126","12400","16.7","8070","6378","1692","0","2068","58","0","243880","1,560,833","301.3"
"3078","650","3867","16.0","2793","2083","710","0","620","30","0","69548","445,110","86.4"
"3079","665","5423","11.8","2668","2231","438","0","641","24","0","89515","572,896","110.4"
"3081","504","5926","7.6","3297","1351","1395","551","453","49","2","107650","688,960","134.5"
"3082","1659","10627","15.4","6446","5459","685","302","1637","21","1","162783","1,041,809","200.7"
"3083","1775","11101","15.6","6739","5389","1350","0","1732","43","0","184131","1,178,440","227.5"
"3084","1239","9487","12.6","4700","3936","764","0","1200","39","0","137790","881,858","169.9"
"3085","677","5552","12.0","2380","2121","259","0","664","13","0","75956","486,117","93.7"
"3087","434","3811","11.2","1371","1295","77","0","428","6","0","45586","291,752","56.2"
"3088","1396","10557","13.0","5268","4530","421","317","1374","20","2","146327","936,493","180.6"
"3089","758","4273","17.3","2983","2597","386","0","741","17","0","68359","437,494","84.3"
"3090","156","789","17.6","862","637","225","0","139","17","0","22332","142,924","27.5"
"3091","162","530","25.1","963","564","399","0","133","29","0","21693","138,834","26.7"
"3093","206","1481","12.8","971","698","272","0","190","16","0","26765","171,296","33"
"3094","420","3790","10.9","1445","1280","165","0","413","7","0","43007","275,246","53"
"3095","1523","9533","15.5","6282","5349","749","184","1481","41","1","169203","1,082,897","209"
"3096","137","643","21.0","478","454","24","0","135","2","0","12669","81,082","15.6"
"3097","139","471","27.2","647","492","155","0","128","11","0","22153","141,780","26"
"3099","404","1838","21.2","1627","1364","263","0","390","14","0","44846","287,013","57.5"
"3101","802","7927","9.5","3752","2628","1124","0","750","52","0","130518","835,313","160.9"
"3102","259","2373","10.6","887","772","115","0","252","7","0","36154","231,387","44.6"
"3103","552","5749","9.2","2270","1804","466","0","529","23","0","86330","552,515","106.4"
"3104","761","7573","9.7","3164","2666","499","0","733","28","0","113613","727,120","140.1"
"3105","481","4211","11.1","1819","1558","261","0","469","12","0","64722","414,218","80"
"3106","946","6131","14.9","3839","3155","485","199","911","34","1","105764","676,892","130.4"
"3107","603","5453","10.9","2235","2017","218","0","593","10","0","73015","467,298","90"
"3108","811","7668","10.3","3436","2701","437","299","792","18","1","119752","766,411","147.8"
"3109","1142","10087","11.2","4846","3892","311","643","1126","15","1","149825","958,880","184.7"
"3111","734","4532","15.4","3312","2289","571","452","696","37","1","77452","495,694","91.2"
"3113","620","2942","20.0","2628","2070","557","0","589","31","0","59403","380,176","69.9"
"3114","253","1228","19.5","1158","963","195","0","239","14","0","31866","203,944","37.5"
"3115","294","1272","21.5","1361","1061","300","0","273","21","0","36971","236,612","43.5"
"3116","747","3911","18.4","3411","2584","427","400","721","25","1","79844","511,000","94.2"
"3121","630","7980","7.4","3589","1728","978","883","591","37","2","131063","838,801","161.8"
"3122","440","4483","9.3","1860","1498","362","0","419","21","0","97978","627,058","120.7"
"3123","331","3631","8.7","1362","1051","310","0","316","15","0","63526","406,568","78.3"
"3124","749","7374","9.8","2857","2463","394","0","726","23","0","123734","791,900","152.5"
"3125","628","5475","11.2","2024","1781","243","0","613","15","0","86602","554,252","107.2"
"3126","251","2874","8.5","1867","873","105","889","243","7","1","49557","317,164","61.1"
"3127","745","6748","10.7","2723","2400","323","0","724","21","0","98317","629,231","121.2"
"3128","656","6185","10.3","2558","1987","570","0","637","19","0","111118","711,157","137.5"
"3129","696","6875","9.8","2548","2061","487","0","673","23","0","91212","583,756","112.7"
"3130","1551","12610","12.1","5209","4675","534","0","1523","28","0","179526","1,148,968","221.8"
"3131","1154","9454","11.8","4091","3413","678","0","1120","34","0","138989","889,530","164.3"
"3132","716","6690","10.4","2843","2161","358","324","695","20","1","97007","620,843","114.9"
"3133","1431","8482","16.6","5152","4456","696","0","1410","21","0","137031","876,996","161.8"
"3134","1691","12807","12.6","7345","5231","1984","130","1615","75","1","224682","1,437,963","265.3"
"3135","1061","8089","12.8","4213","3311","902","0","1034","27","0","109042","697,871","128.4"
"3136","2473","18736","13.0","9032","7845","881","305","2431","41","1","272311","1,742,791","321.5"
"3137","1000","6084","15.4","5047","3050","1696","301","936","63","1","134057","857,968","159.7"
"3138","1480","8624","17.0","5279","4900","380","0","1463","17","0","128600","823,040","151.5"
"3139","1273","5155","23.4","5973","4509","1464","0","1204","69","0","176130","1,127,235","207.1"
"3140","1173","7032","16.0","5068","3841","1227","0","1126","47","0","135056","864,355","159.6"
"3141","217","3284","6.2","995","700","295","0","203","14","0","64446","412,457","79.4"
"3142","195","3539","4.7","1358","705","654","0","165","30","0","66274","424,157","81.7"
"3143","191","2227","8.1","784","639","145","0","180","11","0","42823","274,065","52.7"
"3144","299","3295","8.4","1610","1033","577","0","277","22","0","58149","372,150","71.7"
"3145","769","7887","9.5","3001","2593","408","0","747","22","0","130603","835,862","160.9"
"3146","863","8100","10.3","3483","2982","501","0","833","30","0","118414","757,849","146.1"
"3147","723","4946","14.4","2609","2445","164","0","712","11","0","73706","471,719","90.9"
"3148","356","3275","10.7","1192","1045","147","0","349","7","0","41750","267,198","52.4"
"3149","1818","10509","17.0","6412","5858","554","0","1785","33","0","214318","1,371,636","269.3"
"3150","3576","21551","16.3","12906","11479","1172","255","3509","66","1","351639","2,250,487","414.4"
"3151","526","3947","13.2","1613","1513","100","0","521","5","0","60299","385,915","75.7"
"3152","2082","12690","16.2","8282","6969","682","631","2050","31","1","200067","1,280,427","235.9"
"3153","1415","8318","15.2","8633","4047","4271","315","1262","152","1","263117","1,683,949","315.6"
"3154","282","1607","17.2","994","933","60","0","277","5","0","25337","162,155","29.8"
"3155","1353","9849","13.5","5102","4079","701","322","1327","25","1","141819","907,641","167.7"
"3156","2741","14546","18.4","11027","9009","1258","760","2671","68","2","242146","1,549,733","285.6"
"3158","356","2555","13.7","1371","1152","219","0","349","7","0","32663","209,045","38.5"
"3159","155","962","15.5","569","502","67","0","149","6","0","18245","116,770","21.4"
"3160","507","3491","14.2","2002","1658","344","0","494","13","0","53845","344,605","63.3"
"3161","295","4690","5.7","1476","1048","428","0","265","30","0","74246","475,175","91.5"
"3162","538","6293","8.1","2253","1794","459","0","509","29","0","86187","551,597","106.2"
"3163","956","10539","9.0","3258","2978","279","0","944","12","0","127022","812,944","156.7"
"3165","1108","9403","11.5","3978","3487","490","0","1083","25","0","149182","954,763","187.6"
"3166","931","9044","9.8","4523","2940","949","635","890","40","1","152947","978,862","193.5"
"3167","486","3693","12.7","2008","1549","459","0","469","17","0","84410","540,226","107.4"
"3168","505","6817","6.8","4478","1437","1148","1893","461","41","3","184416","1,180,260","233.4"
"3169","938","7628","11.8","4734","2990","885","860","898","39","1","165047","1,056,302","210.1"
"3170","1123","7449","14.5","5023","3663","1200","160","1079","43","1","169958","1,087,733","214.3"
"3171","1148","7151","15.5","5799","3674","760","1366","1111","34","3","152140","973,697","192.7"
"3172","1320","8314","15.6","5235","4528","708","0","1296","24","0","133685","855,583","168.6"
"3173","2242","9284","23.4","9984","7912","1712","360","2177","64","1","208362","1,333,519","264.2"
"3174","1704","13550","12.4","6309","5409","700","200","1675","28","1","194265","1,243,294","243.9"
"3175","2596","19399","11.7","22270","7670","10033","4567","2268","319","9","864959","5,535,737","1106"
"3177","531","4577","11.4","1763","1590","173","0","522","9","0","58445","374,049","69.2"
"3178","2717","11468","23.3","9701","8630","1071","0","2668","49","0","221104","1,415,068","261.5"
"3179","432","2186","18.8","2878","1357","992","528","410","21","1","75510","483,262","89.1"
"3180","584","3063","18.2","2438","1649","789","0","556","28","0","94426","604,325","113.1"
"3181","265","4311","5.9","1058","817","241","0","253","12","0","67683","433,172","83.4"
"3182","276","3178","8.0","1421","809","440","172","253","22","1","61591","394,184","75.9"
"3183","313","3143","9.7","1098","940","157","0","306","7","0","55558","355,574","68.5"
"3184","321","2306","13.4","1158","1023","136","0","310","11","0","43814","280,408","54"
"3185","346","3485","9.7","1326","1111","215","0","337","9","0","59338","379,764","73.1"
"3186","780","8486","8.4","3696","2770","926","0","717","63","0","132398","847,346","163.2"
"3187","744","6257","11.6","2546","2228","318","0","727","17","0","83916","537,060","105.4"
"3188","709","6625","10.5","2654","2445","209","0","693","16","0","85243","545,553","107"
"3189","395","2233","15.2","2630","1086","1544","0","340","55","0","127292","814,670","163.6"
"3190","367","4392","7.9","1494","1177","317","0","349","18","0","64223","411,028","81"
"3191","409","3496","11.3","1708","1405","303","0","394","15","0","54565","349,218","68.5"
"3192","996","8191","11.4","5039","3114","1473","452","935","59","2","188769","1,208,121","238.8"
"3193","878","7688","10.9","3783","3218","565","0","838","40","0","105399","674,551","132.3"
"3194","473","5509","8.2","2152","1600","552","0","454","19","0","104870","671,170","132.2"
"3195","2095","12551","15.6","11429","6866","4005","558","1963","130","2","317830","2,034,115","404.7"
"3196","1408","8629","16.0","4939","4176","763","0","1377","31","0","131556","841,958","165.2"
"3197","860","5039","16.8","2663","2529","134","0","848","12","0","60576","387,689","76.1"
"3198","1220","8325","14.0","4828","3453","1213","162","1167","52","1","130887","837,676","161.9"
"3199","3337","24628","13.3","11627","10373","1254","0","3266","71","0","346419","2,217,080","424.4"
"3200","288","2601","10.8","868","794","74","0","282","6","0","28073","179,667","34.4"
"3201","1736","8699","18.9","8095","5181","2914","0","1640","96","0","178075","1,139,679","226.4"
"3202","147","935","14.4","1042","472","570","0","135","12","0","37618","240,754","47.1"
"3204","1124","10377","10.6","4154","3633","521","0","1100","24","0","146030","934,591","183.3"
"3205","168","2760","5.6","867","535","332","0","155","13","0","51453","329,299","63.5"
"3206","271","3851","6.8","1051","843","208","0","261","10","0","46072","294,859","56.8"
"3207","273","4177","5.7","2197","757","1038","402","239","33","1","164446","1,052,456","205"
"3211","184","503","33.8","928","669","258","0","170","14","0","26116","167,141","33.6"
"3212","1545","6459","23.5","6431","5402","671","358","1516","27","2","181305","1,160,355","234.4"
"3214","1541","10846","14.0","6370","4282","732","1356","1518","22","1","222049","1,421,113","281.2"
"3215","1308","9284","13.5","5989","4144","1845","0","1254","54","0","208446","1,334,055","263.8"
"3216","4105","24989","16.1","15578","13231","2189","158","4025","79","1","370115","2,368,737","463.7"
"3218","690","5494","12.2","2674","2161","513","0","671","19","0","90871","581,573","113.7"
"3219","1518","10115","14.7","5588","4428","961","199","1490","27","1","151229","967,867","190.3"
"3220","906","7600","10.9","5284","2874","2410","0","828","78","0","168508","1,078,452","212.2"
"3221","444","267","","1410","1258","152","0","434","10","0","14722","94,221","18.4"
"3222","1649","6840","23.5","6816","5856","959","0","1604","45","0","40165","257,058","50.2"
"3223","1064","6421","16.3","3951","3567","384","0","1045","19","0","100625","644,000","129.6"
"3224","1321","6690","19.1","5674","4502","1173","0","1278","43","0","156181","999,561","197.1"
"3225","663","3482","18.7","2415","2183","232","0","650","13","0","56669","362,684","70.9"
"3226","1557","8008","19.1","5891","5203","688","0","1527","30","0","1171","7,494","1.5"
"3227","608","2736","21.4","3480","2146","324","1010","585","22","1","13990","89,534","17.6"
"3228","1711","9698","17.1","7425","6140","1022","263","1656","54","1","151419","969,084","189.8"
"3230","466","2873","15.8","1866","1584","282","0","454","12","0","1160","7,424","1.5"
"3231","262","1864","13.6","1054","962","93","0","254","8","0","13949","89,276","17.5"
"3232","103","1734","5.6","398","317","81","0","97","6","0","1092","6,986","1.3"
"3233","240","2299","9.9","1128","814","314","0","227","13","0","7328","46,898","8.7"
"3235","53","238","21.8","224","213","11","0","52","1","0","7677","49,135","9.6"
"3236","37","147","23.8","141","120","20","0","35","2","0","4277","27,371","5.1"
"3237","24","179","10.6","143","67","76","0","19","5","0","7682","49,162","9.1"
"3238","38","186","19.9","145","130","15","0","37","1","0","5757","36,845","6.8"
"3239","50","259","16.6","314","175","139","0","43","7","0","10508","67,252","12.5"
"3240","236","780","28.5","1096","860","236","0","222","14","0","26374","168,792","32.9"
"3241","280","1145","23.2","1301","999","302","0","266","14","0","30802","197,130","38.5"
"3242","93","424","21.2","385","320","65","0","90","3","0","6667","42,669","8.3"
"3243","38","189","18.5","198","132","66","0","35","3","0","10118","64,757","12"
"3249","335","1426","22.1","1628","1152","476","0","315","20","0","68669","439,482","81.4"
"3250","858","5886","13.6","5386","2793","1104","1490","803","53","2","128544","822,679","153.2"
"3251","50","241","20.3","202","184","18","0","49","1","0","8449","54,072","10.9"
"3254","44","132","31.8","156","134","23","0","42","2","0","4435","28,383","5.3"
"3260","355","2239","14.4","1948","1251","697","0","322","33","0","46303","296,338","54.9"
"3264","188","973","17.9","1026","702","324","0","174","14","0","3707","23,728","4.6"
"3265","241","1091","18.5","1870","788","1081","0","202","39","0","60371","386,376","75.2"
"3266","259","1345","17.0","1691","903","788","0","229","30","0","37305","238,751","44.2"
"3267","16","97","13.4","121","64","57","0","13","3","0","5168","33,076","6.1"
"3268","234","1174","17.0","1641","801","840","0","199","35","0","42211","270,152","52.6"
"3269","67","416","13.7","444","243","201","0","57","10","0","12274","78,556","14.6"
"3270","23","347","6.6","87","87","0","0","23","0","0","5813","37,201","7.3"
"3271","18","102","17.6","69","69","0","0","18","0","0","9591","61,385","11.9"
"3272","162","803","19.2","698","572","126","0","154","8","0","15711","100,547","19.6"
"3273","11","71","14.1","59","44","15","0","10","1","0","5081","32,521","6.3"
"3274","33","114","28.9","126","126","0","0","33","0","0","8366","53,545","10.4"
"3275","34","182","18.1","154","143","11","0","33","1","0","4931","31,559","6.2"
"3276","33","224","13.8","142","118","25","0","31","2","0","12576","80,489","15.7"
"3277","118","768","14.1","669","413","255","0","108","10","0","31670","202,691","39.7"
"3278","31","136","19.9","210","120","90","0","27","4","0","4741","30,344","5.9"
"3279","25","98","25.5","101","101","0","0","25","0","0","6445","41,251","8"
"3280","1675","14455","11.0","7978","5488","2237","253","1585","89","1","272067","1,741,228","340.6"
"3281","175","635","26.0","892","697","195","0","165","10","0","22351","143,044","27.9"
"3282","168","1026","15.9","647","586","61","0","163","5","0","26560","169,982","33.2"
"3283","121","539","20.8","594","445","149","0","112","9","0","25506","163,241","31.8"
"3284","271","2276","11.2","1321","937","385","0","256","15","0","8438","54,003","10.6"
"3285","114","586","19.3","442","417","25","0","113","1","0","21141","135,304","26.6"
"3286","46","316","14.6","172","172","0","0","46","0","0","12000","76,800","15.3"
"3287","34","177","19.2","132","132","0","0","34","0","0","13031","83,399","16.2"
"3289","87","402","20.9","370","317","52","0","84","3","0","13620","87,171","17.3"
"3292","37","303","12.2","120","120","0","0","37","0","0","199","1,275",".2"
"3293","35","163","20.9","124","108","16","0","34","1","0","12202","78,095","15.5"
"3294","81","452","17.3","378","314","65","0","78","3","0","18898","120,949","24"
"3300","659","4957","12.6","3065","2258","807","0","625","34","0","16708","106,934","21.3"
"3301","105","573","17.5","504","428","76","0","100","5","0","38680","247,552","49.2"
"3302","33","189","17.5","123","123","0","0","33","0","0","11773","75,345","15"
"3303","24","171","12.3","118","88","30","0","21","3","0","10232","65,485","12.7"
