clear_sky_days
2019-01-01
2019-01-02
2019-01-03
2019-01-08
2019-01-12
2019-01-13
2019-01-22
2019-01-23
2019-02-01
2019-02-02
2019-02-15
2019-02-16
2019-02-22
2019-02-23
2019-02-24
2019-02-26
2019-02-27
2019-03-01
2019-03-15
2019-03-17
2019-03-19
2019-04-02
2019-04-23
2019-04-24
2019-04-29
2019-05-14
2019-05-15
2019-07-20
2019-08-05
2019-08-14
2019-08-23
2019-08-30
2019-09-12
2019-09-17
2019-10-01
2019-10-02
2019-11-18
2019-11-27
2019-12-16
2019-12-19
2019-12-25
2020-01-01
2020-01-02
2020-01-06
2020-01-07
2020-01-08
2020-01-12
2020-01-13
2020-01-14
2020-01-29
2020-01-30
2020-02-04
2020-02-05
2020-02-06
2020-02-10
2020-02-11
2020-02-22
2020-03-08
2020-03-15
2020-03-25
2020-03-26
2020-04-09
2020-04-13
2020-04-24
2020-05-15
2020-05-16
2020-05-17
2020-05-29
2020-06-05
2020-06-10
2020-06-28
2020-06-29
2020-07-15
2020-07-16
2020-07-17
2020-07-23
2020-07-25
