clear_sky_days
1/01/2019
2/01/2019
3/01/2019
8/01/2019
12/01/2019
13/01/2019
22/01/2019
23/01/2019
1/02/2019
2/02/2019
15/02/2019
16/02/2019
22/02/2019
23/02/2019
24/02/2019
26/02/2019
27/02/2019
1/03/2019
15/03/2019
17/03/2019
19/03/2019
2/04/2019
23/04/2019
24/04/2019
29/04/2019
14/05/2019
15/05/2019
20/07/2019
5/08/2019
14/08/2019
23/08/2019
30/08/2019
12/09/2019
17/09/2019
1/10/2019
2/10/2019
18/11/2019
27/11/2019
16/12/2019
19/12/2019
25/12/2019
1/01/2020
2/01/2020
6/01/2020
7/01/2020
8/01/2020
12/01/2020
13/01/2020
14/01/2020
29/01/2020
30/01/2020
4/02/2020
5/02/2020
6/02/2020
10/02/2020
11/02/2020
22/02/2020
8/03/2020
15/03/2020
25/03/2020
26/03/2020
9/04/2020
13/04/2020
24/04/2020
15/05/2020
16/05/2020
17/05/2020
29/05/2020
5/06/2020
10/06/2020
28/06/2020
29/06/2020
15/07/2020
16/07/2020
17/07/2020
23/07/2020
25/07/2020
